Type,Library,Filename,Time (ms),FileSize (byte)
1. Parse,gason (C++11),4un4.json,7.409000,0
1. Parse,gason (C++11),apache_builds.json,0.185000,0
1. Parse,gason (C++11),canada.json,3.635000,0
1. Parse,gason (C++11),citm_catalog.json,2.151000,0
1. Parse,gason (C++11),twitter.json,0.999000,0
2. Stringify,gason (C++11),4un4.json,124.873000,0
2. Stringify,gason (C++11),apache_builds.json,1.108000,0
2. Stringify,gason (C++11),canada.json,65.798000,0
2. Stringify,gason (C++11),citm_catalog.json,14.164000,0
2. Stringify,gason (C++11),twitter.json,6.049000,0
3. Prettify,gason (C++11),4un4.json,159.680000,0
3. Prettify,gason (C++11),apache_builds.json,1.275000,0
3. Prettify,gason (C++11),canada.json,82.195000,0
3. Prettify,gason (C++11),citm_catalog.json,17.586000,0
3. Prettify,gason (C++11),twitter.json,6.872000,0
4. Statistics,gason (C++11),4un4.json,2.616000,0
4. Statistics,gason (C++11),apache_builds.json,0.033000,0
4. Statistics,gason (C++11),canada.json,0.601000,0
4. Statistics,gason (C++11),citm_catalog.json,0.234000,0
4. Statistics,gason (C++11),twitter.json,0.131000,0
7. Code size,gason (C++11),jsonstat,0,18720
1. Parse,RapidJSON_FullPrec (C++),4un4.json,16.702000,0
1. Parse,RapidJSON_FullPrec (C++),apache_builds.json,0.265000,0
1. Parse,RapidJSON_FullPrec (C++),canada.json,14.152000,0
1. Parse,RapidJSON_FullPrec (C++),citm_catalog.json,2.595000,0
1. Parse,RapidJSON_FullPrec (C++),twitter.json,1.505000,0
2. Stringify,RapidJSON_FullPrec (C++),4un4.json,14.837000,0
2. Stringify,RapidJSON_FullPrec (C++),apache_builds.json,0.143000,0
2. Stringify,RapidJSON_FullPrec (C++),canada.json,10.186000,0
2. Stringify,RapidJSON_FullPrec (C++),citm_catalog.json,1.187000,0
2. Stringify,RapidJSON_FullPrec (C++),twitter.json,0.698000,0
3. Prettify,RapidJSON_FullPrec (C++),4un4.json,18.679000,0
3. Prettify,RapidJSON_FullPrec (C++),apache_builds.json,0.174000,0
3. Prettify,RapidJSON_FullPrec (C++),canada.json,11.646000,0
3. Prettify,RapidJSON_FullPrec (C++),citm_catalog.json,1.511000,0
3. Prettify,RapidJSON_FullPrec (C++),twitter.json,0.831000,0
4. Statistics,RapidJSON_FullPrec (C++),4un4.json,2.435000,0
4. Statistics,RapidJSON_FullPrec (C++),apache_builds.json,0.019000,0
4. Statistics,RapidJSON_FullPrec (C++),canada.json,0.682000,0
4. Statistics,RapidJSON_FullPrec (C++),citm_catalog.json,0.198000,0
4. Statistics,RapidJSON_FullPrec (C++),twitter.json,0.077000,0
5. Sax Round-trip,RapidJSON_FullPrec (C++),4un4.json,26.097000,0
5. Sax Round-trip,RapidJSON_FullPrec (C++),apache_builds.json,0.552000,0
5. Sax Round-trip,RapidJSON_FullPrec (C++),canada.json,23.327000,0
5. Sax Round-trip,RapidJSON_FullPrec (C++),citm_catalog.json,3.048000,0
5. Sax Round-trip,RapidJSON_FullPrec (C++),twitter.json,1.913000,0
6. SaxStatistics,RapidJSON_FullPrec (C++),4un4.json,12.756000,0
6. SaxStatistics,RapidJSON_FullPrec (C++),apache_builds.json,0.179000,0
6. SaxStatistics,RapidJSON_FullPrec (C++),canada.json,13.504000,0
6. SaxStatistics,RapidJSON_FullPrec (C++),citm_catalog.json,1.997000,0
6. SaxStatistics,RapidJSON_FullPrec (C++),twitter.json,1.184000,0
7. Code size,RapidJSON_FullPrec (C++),jsonstat,0,26920
1. Parse,RapidJSON_Insitu (C++),4un4.json,10.117000,0
1. Parse,RapidJSON_Insitu (C++),apache_builds.json,0.165000,0
1. Parse,RapidJSON_Insitu (C++),canada.json,5.258000,0
