Type,Library,Filename,Time (ms),FileSize (byte)
1. Parse,gason (C++11),4un4.json,7.512000,0
1. Parse,gason (C++11),apache_builds.json,0.203000,0
1. Parse,gason (C++11),canada.json,3.713000,0
1. Parse,gason (C++11),citm_catalog.json,1.996000,0
1. Parse,gason (C++11),twitter.json,0.994000,0
2. Stringify,gason (C++11),4un4.json,122.503000,0
2. Stringify,gason (C++11),apache_builds.json,1.105000,0
2. Stringify,gason (C++11),canada.json,64.546000,0
2. Stringify,gason (C++11),citm_catalog.json,14.005000,0
2. Stringify,gason (C++11),twitter.json,6.001000,0
3. Prettify,gason (C++11),4un4.json,156.638000,0
3. Prettify,gason (C++11),apache_builds.json,1.270000,0
3. Prettify,gason (C++11),canada.json,82.587000,0
3. Prettify,gason (C++11),citm_catalog.json,17.694000,0
3. Prettify,gason (C++11),twitter.json,6.957000,0
4. Statistics,gason (C++11),4un4.json,1.724000,0
4. Statistics,gason (C++11),apache_builds.json,0.031000,0
4. Statistics,gason (C++11),canada.json,0.380000,0
4. Statistics,gason (C++11),citm_catalog.json,0.198000,0
4. Statistics,gason (C++11),twitter.json,0.115000,0
7. Code size,gason (C++11),jsonstat,0,18760
1. Parse,RapidJSON_FullPrec (C++),4un4.json,15.347000,0
1. Parse,RapidJSON_FullPrec (C++),apache_builds.json,0.252000,0
1. Parse,RapidJSON_FullPrec (C++),canada.json,11.956000,0
1. Parse,RapidJSON_FullPrec (C++),citm_catalog.json,2.472000,0
1. Parse,RapidJSON_FullPrec (C++),twitter.json,1.429000,0
2. Stringify,RapidJSON_FullPrec (C++),4un4.json,12.328000,0
2. Stringify,RapidJSON_FullPrec (C++),apache_builds.json,0.141000,0
2. Stringify,RapidJSON_FullPrec (C++),canada.json,9.263000,0
2. Stringify,RapidJSON_FullPrec (C++),citm_catalog.json,1.048000,0
2. Stringify,RapidJSON_FullPrec (C++),twitter.json,0.677000,0
3. Prettify,RapidJSON_FullPrec (C++),4un4.json,14.963000,0
3. Prettify,RapidJSON_FullPrec (C++),apache_builds.json,0.164000,0
3. Prettify,RapidJSON_FullPrec (C++),canada.json,10.064000,0
3. Prettify,RapidJSON_FullPrec (C++),citm_catalog.json,1.348000,0
