Type,Library,Test,Result
1. Parse Validation,gason (C++11),pass01,true
1. Parse Validation,gason (C++11),pass02,true
1. Parse Validation,gason (C++11),pass03,true
1. Parse Validation,gason (C++11),fail02,true
1. Parse Validation,gason (C++11),fail03,true
1. Parse Validation,gason (C++11),fail04,false
1. Parse Validation,gason (C++11),fail05,true
1. Parse Validation,gason (C++11),fail06,true
1. Parse Validation,gason (C++11),fail07,false
1. Parse Validation,gason (C++11),fail08,false
1. Parse Validation,gason (C++11),fail09,false
1. Parse Validation,gason (C++11),fail10,false
1. Parse Validation,gason (C++11),fail11,true
1. Parse Validation,gason (C++11),fail12,true
1. Parse Validation,gason (C++11),fail13,false
1. Parse Validation,gason (C++11),fail14,true
1. Parse Validation,gason (C++11),fail15,true
1. Parse Validation,gason (C++11),fail16,true
1. Parse Validation,gason (C++11),fail17,true
1. Parse Validation,gason (C++11),fail19,false
1. Parse Validation,gason (C++11),fail20,true
1. Parse Validation,gason (C++11),fail21,true
1. Parse Validation,gason (C++11),fail22,true
1. Parse Validation,gason (C++11),fail23,true
1. Parse Validation,gason (C++11),fail24,true
1. Parse Validation,gason (C++11),fail25,true
1. Parse Validation,gason (C++11),fail26,true
1. Parse Validation,gason (C++11),fail27,true
1. Parse Validation,gason (C++11),fail28,true
1. Parse Validation,gason (C++11),fail29,false
1. Parse Validation,gason (C++11),fail30,false
1. Parse Validation,gason (C++11),fail31,true
1. Parse Validation,gason (C++11),fail32,true
1. Parse Validation,gason (C++11),fail33,true
2. Parse Double,gason (C++11),double01,true
2. Parse Double,gason (C++11),double02,true
2. Parse Double,gason (C++11),double03,true
2. Parse Double,gason (C++11),double04,true
2. Parse Double,gason (C++11),double05,true
2. Parse Double,gason (C++11),double06,true
2. Parse Double,gason (C++11),double07,true
2. Parse Double,gason (C++11),double08,true
2. Parse Double,gason (C++11),double09,true
2. Parse Double,gason (C++11),double10,true
2. Parse Double,gason (C++11),double11,false
2. Parse Double,gason (C++11),double12,true
2. Parse Double,gason (C++11),double13,true
2. Parse Double,gason (C++11),double14,true
2. Parse Double,gason (C++11),double15,false
2. Parse Double,gason (C++11),double16,true
2. Parse Double,gason (C++11),double17,false
2. Parse Double,gason (C++11),double18,false
2. Parse Double,gason (C++11),double19,false
2. Parse Double,gason (C++11),double20,false
2. Parse Double,gason (C++11),double21,false
2. Parse Double,gason (C++11),double22,false
2. Parse Double,gason (C++11),double23,false
2. Parse Double,gason (C++11),double24,false
2. Parse Double,gason (C++11),double25,false
2. Parse Double,gason (C++11),double26,true
2. Parse Double,gason (C++11),double27,true
2. Parse Double,gason (C++11),double28,false
2. Parse Double,gason (C++11),double29,true
2. Parse Double,gason (C++11),double30,false
2. Parse Double,gason (C++11),double31,true
2. Parse Double,gason (C++11),double32,false
2. Parse Double,gason (C++11),double33,true
2. Parse Double,gason (C++11),double34,true
2. Parse Double,gason (C++11),double35,false
2. Parse Double,gason (C++11),double36,false
2. Parse Double,gason (C++11),double37,false
