Type,Library,Filename,Time (ms),FileSize (byte)
1. Parse,gason (C++11),4un4.json,7.574000,0
1. Parse,gason (C++11),apache_builds.json,0.187000,0
1. Parse,gason (C++11),canada.json,3.932000,0
1. Parse,gason (C++11),citm_catalog.json,2.081000,0
1. Parse,gason (C++11),twitter.json,1.005000,0
2. Stringify,gason (C++11),4un4.json,120.859000,0
2. Stringify,gason (C++11),apache_builds.json,1.109000,0
2. Stringify,gason (C++11),canada.json,64.081000,0
2. Stringify,gason (C++11),citm_catalog.json,13.887000,0
2. Stringify,gason (C++11),twitter.json,6.072000,0
3. Prettify,gason (C++11),4un4.json,152.830000,0
3. Prettify,gason (C++11),apache_builds.json,1.270000,0
3. Prettify,gason (C++11),canada.json,81.970000,0
3. Prettify,gason (C++11),citm_catalog.json,17.411000,0
3. Prettify,gason (C++11),twitter.json,6.947000,0
4. Statistics,gason (C++11),4un4.json,2.530000,0
4. Statistics,gason (C++11),apache_builds.json,0.032000,0
4. Statistics,gason (C++11),canada.json,0.635000,0
4. Statistics,gason (C++11),citm_catalog.json,0.242000,0
4. Statistics,gason (C++11),twitter.json,0.129000,0
7. Code size,gason (C++11),jsonstat,0,18720
1. Parse,RapidJSON_FullPrec (C++),4un4.json,16.755000,0
1. Parse,RapidJSON_FullPrec (C++),apache_builds.json,0.263000,0
1. Parse,RapidJSON_FullPrec (C++),canada.json,13.878000,0
1. Parse,RapidJSON_FullPrec (C++),citm_catalog.json,2.457000,0
1. Parse,RapidJSON_FullPrec (C++),twitter.json,1.520000,0
2. Stringify,RapidJSON_FullPrec (C++),4un4.json,14.791000,0
2. Stringify,RapidJSON_FullPrec (C++),apache_builds.json,0.144000,0
2. Stringify,RapidJSON_FullPrec (C++),canada.json,9.939000,0
2. Stringify,RapidJSON_FullPrec (C++),citm_catalog.json,1.187000,0
2. Stringify,RapidJSON_FullPrec (C++),twitter.json,0.698000,0
3. Prettify,RapidJSON_FullPrec (C++),4un4.json,18.842000,0
3. Prettify,RapidJSON_FullPrec (C++),apache_builds.json,0.181000,0
3. Prettify,RapidJSON_FullPrec (C++),canada.json,11.404000,0
3. Prettify,RapidJSON_FullPrec (C++),citm_catalog.json,1.533000,0
3. Prettify,RapidJSON_FullPrec (C++),twitter.json,0.828000,0
